106,Dance Yrself Clean,LCD Soundsystem,18 May 2010,Alternative Dance,4.65,3000
107,Chop Suey!,System of a Down,13 August 2001,Alternative Metal,4.64,4000
108,Painkiller,Judas Priest,3 September 1990,Speed Metal,4.65,2000
109,[untitled],Boris,15 December 2000,Drone Metal,4.65,2000
110,King Park,La Dispute,4 October 2011,Emo,4.65,857
111,Everything in Its Right Place,Radiohead,3 October 2000,Electronic,4.60,11000
112,Construção,Chico Buarque,November 1971,MPB,4.64,1000
113,King Kunta,Kendrick Lamar,15 March 2015,G-Funk,4.60,11000
114,"Valentine Card / Kantina / Were, Are and Was or Is",Unwound,7 July 1993,Emo,4.66,1000
115,The World Is Yours,Nas,19 April 1994,Jazz Rap,4.62,5000
116,Ms. Jackson,OutKast,31 October 2000,Pop Rap,4.64,2000
117,Karma Police,Radiohead,16 June 1997,Post-Britpop,4.59,13000
118,Bachelorette,Björk,22 September 1997,Art Pop,4.63,5000
119,Simulation Swarm,Big Thief,19 January 2022,Indie Folk,4.65,3000
120,Teardrop,Massive Attack,20 April 1998,Trip Hop,4.64,4000
121,In the Aeroplane Over the Sea,Neutral Milk Hotel,10 February 1998,Indie Folk,4.61,7000
122,Here Comes the Sun,The Beatles,26 September 1969,Sunshine Pop,4.61,8000
123,Born Under Punches (The Heat Goes On),Talking Heads,8 October 1980,New Wave,4.61,7000
124,Hidden Place,Björk,6 August 2001,Glitch Pop,4.62,5000
125,#19,Aphex Twin,June 1994,Drone,4.67,484
126,Stan,Eminem,22 May 2000,Conscious Hip Hop,4.64,3000
127,Hasta que te conocí (Popurrí),Juan Gabriel,20 December 1990,Mariachi,4.84,415
128,Epitaph (Including 'March for No Reason' and 'Tomorrow and Tomorrow'),King Crimson,10 October 1969,Symphonic Prog,4.60,8000
129,[untitled],Fishmans,25 October 1996,Neo-Psychedelia,4.64,3000
130,My Favorite Things,John Coltrane,March 1961,Post-Bop,4.64,2000
131,American tterroristt,RXKNephew,22 December 2020,Trap,4.62,1000
132,Nights,Frank Ocean,20 August 2016,Alternative R&B,4.62,6000
133,Teen Age Riot,Sonic Youth,18 October 1988,Slacker Rock,4.63,3000
134,Chicago,Sufjan Stevens,5 July 2005,Chamber Pop,4.63,3000
135,Avril 14th,Aphex Twin,22 October 2001,Impressionism,4.65,2000
136,Waltz #2 (XO),Elliott Smith,25 August 1998,Singer-Songwriter,4.64,2000
137,Unison,Björk,10 August 2001,Art Pop,4.62,5000
138,Hurt,Nine Inch Nails,8 March 1994,Alternative Rock,4.62,4000
139,This Must Be the Place (Naive Melody),Talking Heads,1 June 1983,New Wave,4.64,3000
140,[untitled],Aphex Twin,7 March 1994,Ambient,4.64,2000
141,Raining Blood,Slayer,7 October 1986,Thrash Metal,4.64,2000
142,Just Like Heaven,The Cure,25 May 1987,Jangle Pop,4.64,2000
143,Disorder,Joy Division,15 June 1979,Post-Punk,4.62,5000
144,Toxicity,System of a Down,4 September 2001,Alternative Metal,4.62,4000
145,Nutshell,Alice in Chains,18 January 1994,Alternative Rock,4.63,2000
146,Duvet,Bôa,1 July 1998,Post-Britpop,4.65,1000
147,Money Trees,Kendrick Lamar,22 October 2012,Conscious Hip Hop,4.60,9000
148,Lazarus,David Bowie,20 December 2015,Art Rock,4.62,4000
149,Hyper-Ballad,Björk,15 June 1995,Art Pop,4.62,4000
150,The Chain,Fleetwood Mac,4 February 1977,Country Rock,4.62,4000
151,Love Will Tear Us Apart,Joy Division,September 1987,Post-Punk,4.64,1000
152,Mind Playing Tricks on Me,Geto Boys,1 July 1991,Southern Hip Hop,4.63,466
153,Never Meant,American Football,14 September 1999,Midwest Emo,4.62,3000
154,Bohemian Rhapsody,Queen,31 October 1975,Progressive Rock,4.61,3000
155,ゲロゲリゲゲゲ / The Gerogerigegege,The Gerogerigegege,20 April 2016,Noise Rock,4.61,941
156,Come On! Feel the Illinoise!,Sufjan Stevens,5 July 2005,Chamber Pop,4.62,3000
157,B.O.B.,OutKast,31 October 2000,Experimental Hip Hop,4.62,2000
158,Power,Kanye West,15 September 2010,Hardcore Hip Hop,4.58,10000
159,Heart-Shaped Box,Nirvana,30 August 1993,Grunge,4.61,5000
160,Change (In the House of Flies),Deftones,20 May 2000,Alternative Metal,4.62,4000
161,Hazard Duty Pay!,JPEGMAFIA,1 October 2021,Hardcore Hip Hop,4.61,3000
162,Midnight in a Perfect World,DJ Shadow,19 November 1996,Trip Hop,4.62,3000
163,Blue Monday,New Order,7 March 1983,Synthpop,4.64,1000
164,"Holy, Holy",Geordie Greep,20 August 2024,Progressive Rock,4.61,4000
165,Helpless Child,Swans,1997,Post-Rock,4.81,1000
166,Screen Shot,Swans,12 May 2014,Post-Rock,4.62,3000
167,Hurricane,Bob Dylan,5 January 1976,Folk Rock,4.64,1000
168,Heroin,The Velvet Underground /,12 March 1967,Experimental Rock,4.59,6000
169,Ashes to Ashes,David Bowie,8 August 1980,New Wave,4.63,2000
170,Wisconsin,Natural Snow Buildings,2006,Post-Rock,4.64,720
171,Pink Moon,Nick Drake,25 February 1972,Contemporary Folk,4.61,4000
172,All My Friends,LCD Soundsystem,12 March 2007,Alternative Dance,4.62,3000
173,Alison,Slowdive,17 May 1993,Dream Pop,4.60,5000
174,90210,Travis Scott,4 September 2015,Southern Hip Hop,4.61,4000
175,Closer,Nine Inch Nails,8 March 1994,New Beat,4.61,4000
176,Cortez the Killer,Neil Young /,10 November 1975,Singer-Songwriter,4.64,819
